"","id","chr10p::chr10:0-40649191","chr10q::chr10:40649191-134758134","chr11p::chr11:0-52743313","chr11q::chr11:52743313-135127769","chr12p::chr12:0-35911664","chr12q::chr12:35911664-133324548","chr13p::chr13:0-16522942","chr13q::chr13:16522942-113566686","chr14p::chr14:0-11400261","chr14q::chr14:11400261-101161492","chr15p::chr15:0-17186630","chr15q::chr15:17186630-99753195","chr16p::chr16:0-36838903","chr16q::chr16:36838903-96330374","chr17p::chr17:0-25689679","chr17q::chr17:25689679-84276897","chr18p::chr18:0-18449624","chr18q::chr18:18449624-80542538","chr19p::chr19:0-27792923","chr19q::chr19:27792923-61707364","chr1p::chr1:0-124048267","chr1q::chr1:124048267-248387328","chr20p::chr20:0-28012753","chr20q::chr20:28012753-66210255","chr21p::chr21:0-11134529","chr21q::chr21:11134529-45090682","chr22p::chr22:0-14249622","chr22q::chr22:14249622-51324926","chr2p::chr2:0-93503283","chr2q::chr2:93503283-242696752","chr3p::chr3:0-94076514","chr3q::chr3:94076514-201105948","chr4p::chr4:0-52452474","chr4q::chr4:52452474-193574945","chr5p::chr5:0-48317879","chr5q::chr5:48317879-182045439","chr6p::chr6:0-59672548","chr6q::chr6:59672548-172126628","chr7p::chr7:0-62064435","chr7q::chr7:62064435-160567428","chr8p::chr8:0-45270456","chr8q::chr8:45270456-146259331","chr9p::chr9:0-46267185","chr9q::chr9:46267185-150617247","chrXp::chrX:0-59373565","chrXq::chrX:59373565-154259566","chrYp::chrY:0-10724418","chrYq::chrY:10724418-62460029"
"11","DO1249_normal",363980.620123915,715798.527852546,389928.925109562,525937.803430154,286302.417233019,640701.213455298,432989.674287208,645838.645139968,493685.857963232,622800.834588571,490940.024820528,487709.389401932,259597.522213481,621061.747236184,262357.168525169,398032.151810184,207576.583528615,478390.343916453,377389.324801802,370638.623634152,882169.214349329,1085437.80560834,269204.839117587,300491.396759414,480928.753246097,270692.560838137,528078.08526532,372373.231287773,656531.996973652,994593.94743425,774559.577472937,817353.3651437,402745.720411263,979667.295555217,494751.678698057,978577.236541286,392498.187791121,782686.010949786,561977.911621596,688145.065028174,327788.323467732,648296.268020343,371424.911165943,593469.511038709,367764.902481381,474190.096811173,24789.8936169291,32732.1355387362
"12","DO1249_tumor",290909.627311522,708047.928402359,355681.300818544,603329.712756949,277483.935580114,584506.697193597,304444.91557378,700005.316914692,373421.144722562,570675.586591083,333520.626950154,654534.34197899,257993.488908437,600975.017641013,184599.215917995,406049.045852699,186147.044120725,530516.509322484,350170.444401708,358792.670201652,918314.507558563,1325509.40841104,189107.009807764,368995.858847953,334095.962174028,262811.427707083,378120.313473568,410034.397823451,682592.845670918,1067672.17695804,777564.639423152,969719.524840169,375181.307657423,762172.472576445,657165.53516626,707712.833343182,360886.103394354,787997.684077197,571405.263700514,659639.371655688,233844.209493309,852450.998711708,325139.247813801,470715.589348419,276842.938157284,422161.060872446,16221.7783525263,28142.2017180356
"13","DO1257_normal",336270.60805529,682851.05017953,401732.923666915,533641.110332939,275997.583810768,623016.339969264,532240.2977121,644753.107524523,549246.20125354,612182.659250882,571050.176939127,475268.804992482,250371.52369441,586622.513949614,250776.425285751,385889.143754277,260649.090735694,524756.089706504,351800.6014067,334416.546739927,834640.743692103,1026658.4257944,265280.981587833,277651.760989039,562213.433244347,276108.535792046,578072.851691655,368247.647024519,639304.340199686,977149.491544666,845469.823317377,902964.383242685,421825.194476071,978948.36241353,467995.146116661,943045.340890152,421906.238272583,797446.574691298,543155.871842262,662361.258744209,332646.765747857,641856.846801153,385516.016910345,597867.916931852,348532.781363375,455348.175899768,24666.6253266404,32588.1142256882
"14","DO1257_tumor",332466.999148048,680272.889933157,398152.443550741,584641.057038968,253794.467284689,618269.554553953,480522.293446738,633137.572818632,515159.830205362,649659.148922625,527279.530896041,464947.127052613,263220.907958431,596051.413650421,250545.813746318,623578.645513326,253410.763487846,514637.676335054,356620.218270239,338412.986977886,801714.129443498,1289358.98951542,291189.102865235,289509.062241478,513099.316886008,271041.194096849,535144.378933778,366467.353939038,632983.742167478,958963.635232339,745880.89122972,853684.55996622,403680.160668161,959416.553861094,467645.519456392,932997.308455668,411768.593131039,785407.988577785,539646.387871297,651146.281449053,277873.41062187,633279.61817787,378119.151497862,586511.328908113,383756.694167629,483343.053127088,24203.4262005747,32200.4961823474
"15","DO1274_normal",354015.033893784,679402.148773293,368687.568206189,496194.154685515,281479.213806181,617613.311986142,425720.847381805,615098.667660812,483264.741828126,619694.170635841,441878.7152562,460900.434526115,241858.015490889,549036.384236139,240854.971910316,381541.611288245,258176.633928972,506224.532098457,354075.225372835,342992.724760967,820384.212590342,1010372.99375597,252374.442998,271405.784633846,446525.384673869,266377.736590652,521106.875533208,390258.027447052,618648.282063786,937354.051829009,747824.1786402,786149.288681292,384029.613185341,919924.32103006,456067.008693657,912737.551859797,369019.766701181,729662.976681103,523315.754152092,643080.616917908,312972.79822149,616472.498755025,356617.352599667,579185.076449444,359340.949300676,459076.566372823,23945.6836013973,30224.0820910726
"16","DO1274_tumor",380872.82976395,664763.306833664,366662.470396008,550082.66728251,301987.933096256,504656.739102745,417546.290532346,652099.981224373,450156.373278537,558747.913526782,379931.015147485,475876.34715237,232053.375728656,535093.84132756,198396.245584932,368577.759719625,303935.756929064,467858.631799321,411490.805488767,358608.271258084,863679.496886381,1237675.68011293,209040.938652279,288858.353083059,428703.902015633,330104.168050203,484040.137091321,456639.743856043,703824.927997489,885441.033193359,709415.163546798,901995.663160543,326757.046247907,896122.915593212,511652.771591567,728836.055500702,517288.517841596,860706.938360015,493406.574226562,764615.412152359,268782.226143938,839496.911941471,321162.265257555,455902.998609673,337496.144530809,367319.484922033,22652.1830484238,26934.6192178366
"17","DO1281_normal",365318.141660288,726256.155212366,398261.976691358,531227.495206629,304090.535562528,642602.634531186,449620.088729655,631623.290878102,494050.131492663,601517.479665736,476101.973153726,462874.13772307,257866.604266629,571734.185979669,250951.199336962,389269.748081484,223851.696767686,477626.087743301,381949.513425934,368179.239662742,849666.134702001,1097914.90216643,259707.140041053,287053.14584376,486812.561775911,280394.636852605,521332.5414385,375061.621147161,629459.724593779,944665.272350366,758233.066548166,782424.596104705,393992.550242528,916975.228905805,485134.158046149,936856.835536054,409535.763860583,768893.163071382,549810.790735809,668431.303376366,326403.401259051,622613.243898771,365098.944473354,629949.796270377,376347.807089693,481090.723549349,24510.3644854403,33720.1314001143
"18","DO1281_tumor",293958.556494747,604394.442342607,385447.41286277,510611.615522529,311889.992586902,661931.192735199,338348.69400029,465872.104077927,425638.496290845,735783.256452886,360351.342350801,355563.087897703,361903.305956739,531206.51408143,255143.47016454,504383.382080951,224165.486133706,479189.486610776,354954.764288544,338494.750009759,714232.871263568,1512068.19837605,321590.326362454,362100.751977958,375508.438235817,214182.221533467,427739.563810311,338976.646418474,511636.690755247,728162.109343216,718761.617289916,740414.939918947,382964.880478372,913806.654812942,625780.420479268,1302557.71564399,435307.263152151,786807.648485059,445746.79864527,507563.537739349,359377.728747118,1284418.87376429,289218.739435786,487100.896453423,377315.188491201,478297.542949188,24637.4312850754,30662.6119937469
"19","DO1287_normal",346120.250725082,677120.03936238,404051.559725591,540024.432998882,287486.074050983,640546.378822915,495891.263685461,663839.321325762,525761.050768911,621346.004641659,541664.303531095,485222.05107191,257479.889283169,619908.362978076,254624.810492397,395353.882208797,244960.945040677,516514.912456738,352292.870306065,340215.306284743,854132.855486854,1018295.37498603,274590.700172919,296138.775018797,538117.132371906,287608.682030162,586196.216201349,378748.221653649,658099.380039852,995855.788538751,807983.166695178,853290.774898597,419665.403232111,987382.630114297,468964.444063118,957502.405642826,392648.016218707,774288.743784902,536208.295452718,654666.535651786,330683.238592199,647902.01949438,377017.591274251,585641.294698591,370988.918804838,476271.376550841,25084.0399114752,31542.0081476592
"20","DO1287_tumor",413938.718361329,620172.892145831,453682.750790907,423878.593743474,401743.822175477,591825.635067319,181392.802786621,542574.809261769,268173.314034639,517367.108843486,217513.772216004,412216.853503842,351884.542245541,612224.587991266,212301.214131893,431724.651865317,309890.340991782,561782.456571487,378555.359076319,358632.995193484,771531.581617918,1364701.10141202,236987.90717603,276266.289245565,213997.451523827,222697.664760381,262881.330237578,332451.994883312,781504.059496572,1053635.11262069,536163.322443089,1012601.97143278,195193.990993698,872381.537312069,448512.121110216,878617.359006609,660024.532864932,1273253.62650023,671509.489343383,681821.304092063,196875.962349106,697138.993522699,447708.791350123,509870.538508916,323170.159912728,349038.909640316,19077.9834955571,25934.7462090787
"21","DO1290_normal",367669.781926609,733233.957237178,398743.979732371,533104.734094596,304407.125723463,664584.05928126,447481.127682841,673478.237981252,515612.563717592,654436.727066161,459864.290386444,491875.688388086,272593.16173109,654924.60814398,241910.839428295,382202.326460499,246552.184852115,515972.177237001,383714.151989317,372907.565585093,885222.401870494,1142492.64454131,275877.256234065,296737.850073734,488968.984064882,296288.202036937,536791.874438819,414562.482588335,675901.716609152,1011869.20030477,807891.30117162,841723.279430521,413481.161165908,999191.602661651,501001.1517799,991365.401602388,444310.312362892,830439.29220235,608296.429089971,721325.509187837,338084.919562305,661558.737832392,405194.718951704,627953.305040768,370515.511595339,478652.610191875,25337.0155391799,30881.3396365701
"22","DO1290_tumor",388035.997469061,788381.062919542,360728.842284844,478626.24362428,274308.707594269,594383.128523963,501127.144217346,605309.209394314,549186.543696143,684974.972549923,512286.214365188,523874.155551884,353782.007952139,584497.941167206,218036.171215848,339065.142668018,222063.301901601,458858.762136267,395000.867484558,386413.856817688,812380.183890734,1544218.73957551,283654.32238778,309445.387428432,542504.279576605,265310.101283382,583622.018145728,384299.865165497,712119.927861933,1074429.40880432,896198.342002543,1085638.61797708,389483.096644843,838249.390008014,524449.52828247,1046055.40236982,469423.052553805,876269.802073757,635219.81042543,721206.653612391,300259.192558533,541277.052878677,419096.900848739,658125.580679504,327855.521034048,425730.977637856,22794.1671787588,32198.2715043258
"23","DO1291_normal",342472.676408945,679815.194846918,395173.509192291,525758.013017516,282465.687926943,626869.496163353,381537.1624617,630829.54268913,440490.076097323,592792.386009044,444825.642206009,464495.831482659,240878.688480321,562781.269798283,229360.534352994,373443.259635615,221898.503120714,486770.590548873,345803.383000454,341040.121766787,836882.879013626,1002271.74138974,254028.539043223,272856.281702591,417247.936651207,260309.022295208,464617.13521126,339004.331486589,629243.047062586,970149.391885244,747852.548992041,785886.843508733,390775.070233391,960868.108787486,470708.191279838,943344.317313174,445110.775594368,818467.857451202,535542.199596056,669601.945959112,317768.223753473,634953.487178795,360190.885674891,565676.405357921,360594.696387877,465606.931464358,24811.952339687,32801.1570525768
"24","DO1291_tumor",296932.736873986,601288.065802079,258299.97675027,392408.30970235,299519.607367566,696560.408234832,191280.669130598,385518.375358897,284264.609089351,520825.42358881,230402.146228061,516121.523597947,240583.953597664,385564.83225174,172981.060630166,500673.001837027,204907.776701993,500090.331280161,323336.237451665,341261.667601776,950451.186793154,1105114.69568605,254352.910822108,319302.971547016,231563.490339944,289168.804067411,277869.676660481,266553.449650139,524587.05940208,852924.744944757,596768.62472197,580691.408867115,283923.917088427,727674.976482228,378632.032227048,686588.884831221,387409.23609327,838320.761788114,429299.676446899,600940.652299252,173869.709210884,859734.154605605,203516.537352182,445894.046645501,346780.149517473,463560.217857666,21510.9536386833,24679.6933655832
"25","DO1301_normal",374360.947948441,774156.415153679,393618.035882298,564542.515453468,339465.78605188,716633.501665463,419531.276854652,681196.845990742,470796.543102978,669462.472559104,401212.135984565,550038.763174013,318862.406225092,623801.294818426,256304.115733143,462664.72594671,284435.149626393,552976.360373285,463465.322549836,454643.190639522,985570.105608836,1132244.20678332,311619.106657527,357916.393010798,445974.195245241,325924.301486221,491245.317826901,456086.075949316,695589.064613741,1031403.64055959,768694.729446358,803086.693597843,395913.245383126,935231.015174532,509338.049471889,985266.707097413,438463.580294604,783655.28114902,565996.388850236,715255.19157224,358511.970130488,649624.064827212,397112.901637573,632320.390351783,350273.068935376,446709.498628164,28804.6365802445,26579.933031037
"26","DO1301_tumor",430040.232418983,656869.983169278,333528.882403891,528529.999240745,282976.754301186,636062.501525163,244033.91280184,561670.701483526,300672.110833189,556589.107069526,239660.852129711,479141.916385739,314564.899916471,533224.842758883,221390.985109201,429441.20077786,231794.284483276,472768.99196622,420617.710145659,485713.901112368,999643.182639022,1393542.12099537,267915.46568045,317340.52577541,270143.199744911,285979.306539327,297873.117425177,353269.892074231,693537.519497315,945680.247843016,636579.685702625,746637.795048615,293887.487071855,725994.969962995,567304.425238762,794068.878843715,538172.063592063,742305.328128161,503393.978590081,647007.001085435,322850.414967472,786779.725157282,311041.738076849,501516.426896894,291838.685409738,332922.158598038,24146.1111500836,21707.6975845439
"27","DO1328_normal",342303.417469752,679602.072040895,381861.953812729,511926.882408624,293378.481597442,642670.300356177,467166.001246073,656806.831729278,498658.963847037,605930.680954771,548572.299256775,466916.003715477,239172.022054705,579839.944906164,245919.759657228,374725.100254208,225535.606879977,494936.183174234,345074.5740587,325610.063354853,818923.817677423,1013338.7577905,254126.372073293,274607.249749104,508765.752930285,280576.161418786,529130.745394727,358209.847406921,642860.596997337,981564.17367616,793032.424076814,838668.896449827,436926.923326072,1009375.72350303,465885.090411336,944922.699618928,387519.200153482,772490.003329101,557062.294610563,675462.671888097,321499.795348154,643612.894784817,377107.443281454,599113.753383622,341275.73359313,450188.234976068,24964.594563079,38031.4747561313
"28","DO1328_tumor",404206.19259985,739805.444829196,562507.38229,405686.580422161,322074.857310759,696738.8450512,319584.998947532,448218.596967116,343266.983792525,479052.43190583,349782.52148521,277397.014557303,176184.994182821,463731.542530928,267792.754928067,480319.197648713,265534.921424257,525264.783042238,370734.962785467,341804.853222204,824119.937373084,1799169.95234537,270162.11780644,286046.382874278,351749.577588277,265143.301613681,357742.461380085,307409.103845691,964655.7744346,1030576.33135424,532296.302431836,764963.388235751,321417.364073836,653595.762664975,525465.274192554,588182.055984968,708145.086165215,631668.030084708,565569.212690759,678787.099934243,338157.56367927,923982.610244379,625012.064667542,623499.834526171,283031.503656719,380643.384427606,25196.172536148,30295.9945965148
"29","DO1384_normal",362695.375733172,699638.062998458,386993.235560832,521938.111673214,290267.911848734,649518.958997297,534789.647771544,669305.921141813,541497.468693216,627109.29780608,537529.949316234,492362.625341201,258992.543647437,636269.600431961,259608.303738686,393506.855100543,213936.98984307,489124.722041891,367879.546324866,359670.723508593,877284.270751657,1040455.96064256,246026.624141154,270983.598337286,554403.009800989,284644.174057831,585722.134665764,370490.180604034,660743.090492914,1006038.76965874,876030.431772239,923948.12035838,427793.086408751,1014875.90269801,498215.535744317,994597.557598867,427391.05934639,820523.564511447,566906.549990142,691017.345563113,329138.800286587,657020.622071622,399811.873741137,603075.837574861,374457.521521575,486144.225456991,25373.6622130461,31735.1320077725
"30","DO1384_tumor",382422.083563577,805492.881914581,387199.181623035,645146.075064955,354114.200015649,569354.940084214,302438.825568453,604911.268055069,357206.248575587,486668.377977784,338387.315198888,390410.020029303,221397.40753148,549541.459102145,221549.11988496,317921.197551232,244294.592328729,581281.632357085,329042.443922512,369136.587560981,884389.615329483,1582435.88015199,287405.283571585,306280.049956384,332564.327838028,273579.003389631,369796.943748286,304579.794290027,822815.76877611,799305.269708087,615048.313798225,768343.137166696,303308.364003568,767757.581617639,419430.386153452,803747.697096191,435438.367367715,824664.257147071,662003.183418031,832189.70406441,322103.356653497,737728.486040811,420500.762935376,531779.198225837,452339.199145801,583152.812696248,29991.3737867485,27503.2535581838
"31","DO1392_normal",377712.310051679,747603.427926965,406161.057804957,552829.033831578,337045.636486978,713791.012181259,493270.731741876,723158.033640543,519611.667433115,659945.481359754,499710.529761074,506013.130742856,275660.392622199,566768.048847398,247869.253158762,419827.123089018,246364.998735694,537134.69756951,388434.160865956,370733.119890018,912258.654841722,1096424.98235904,287622.008645089,312363.685470089,538784.291791823,325798.725857649,541661.265425385,385768.701276052,682700.22097238,1057166.04999124,842729.16591864,883429.471567299,425357.334948026,1023140.66697054,505957.534644899,1015229.97663118,437111.356652149,839706.584726847,591252.894809326,745255.944908587,348624.158286437,685837.069699798,383063.066728071,645611.536284542,375786.046358677,487301.615132086,26774.9007887132,31893.2482213218
"32","DO1392_tumor",532620.604854165,732277.823346865,308302.95331522,423555.372597795,324800.691295808,590076.40402072,431190.536694871,581426.945563121,431310.924992038,483397.014403918,427147.796285329,383464.256635362,236913.077672225,468625.238063953,192104.329723779,414292.240942884,225823.214336237,423915.355382921,374113.666013208,473685.045169296,931741.789181643,1245144.90181154,314706.342043022,347842.311769439,463945.687049181,355459.929616481,458709.811900752,318593.619767275,745788.153326806,1067944.33863408,706917.004348262,926098.888485722,319786.805219612,814534.813155593,728891.932600156,774190.955243239,359932.974254616,647083.334817255,669199.880378804,893180.266947113,231653.716159042,962821.646065655,315691.984511651,502022.526350689,306695.581455477,358102.358164748,19762.9047553886,27311.8457237052
"33","DO1537_normal",325030.698819157,675631.507521725,373824.051328142,508673.974682011,272689.143100571,623982.33815617,476939.747250992,666596.584744614,483870.366869655,602804.047952292,489849.104558023,471131.440293413,234571.696184576,557028.574899796,245242.198114414,384318.061770549,224544.195956653,500476.9195615,309428.363088678,299997.352808817,808771.416011383,1033858.65495806,252241.749154532,273393.282672525,506075.658978055,281661.774823663,507321.871496968,340037.807468848,642760.378545381,993345.076885367,812783.424585087,869346.369252414,443644.46996172,1019650.85072792,447647.266145079,933570.902247594,390059.520282971,776232.6596135,520483.462139741,647680.300136639,322469.462105856,645939.313326778,379509.584442616,581909.089819668,334493.446815184,442381.122698646,24554.9738999095,30869.2539132803
"34","DO1537_tumor",358077.183201897,691621.688303343,342166.165224814,483971.685863235,297401.483716207,594028.689856253,512039.511842724,541285.889586975,491743.919352714,497067.064020555,498903.668241116,393267.60249637,270135.731347964,624666.562991371,321712.514729071,436404.804895801,257540.208807971,540087.930724875,411898.121076304,352487.904152779,978821.051013877,1808847.67601935,295508.953858311,299989.295319824,534625.518387254,285803.610191768,527837.44870819,324803.237498957,697651.992288033,1030412.23614195,889068.474433443,947889.589015515,381880.808799185,824874.731754025,511234.359338977,829077.917603147,417545.73629232,820365.598470366,574924.330211985,698751.082579792,340467.083435884,1005583.13539311,410988.177495713,549907.049666748,349202.062406584,456734.429222527,25189.9620617355,30001.7058796789
"35","DO1559_normal",360209.990328439,722299.335700336,400521.215308262,541804.386837445,290755.605164471,655886.189221508,361831.268935223,681751.338115339,443020.161211635,630028.429304807,394475.864629599,494028.781181639,252908.465311115,631794.889542667,232771.899866565,363555.477467023,248431.761369499,533628.970690817,341514.968200807,336232.749013366,865345.677736302,1106908.95426964,281605.666947783,299264.390295624,420459.165392011,287642.479444247,452353.535904868,367468.867111328,684098.004338323,1035156.43837699,739468.956988542,782732.679248677,392641.373556843,1001287.08958167,477761.31840541,985372.132303002,406379.346989453,806946.284583941,568026.110811811,685970.004852095,328601.919236,668305.324966745,388328.948527522,616942.190064843,355237.694811143,467186.474031268,24419.8517621915,34209.0034818387
